"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s2)"
0.05,0.190022,-0.0213422222222,0.145086882716
0.1,0.1888215,-0.0159590277778,0.17194992284
0.15,0.187621,-0.0025725,0.150110138889
0.2,0.1888215,0.00447805555556,0.0399902006173
0.25,0.1884785,0.00352527777778,-0.0951454475309
0.3,0.190022,-0.0116238888889,-0.0961776234568
0.35,0.1867635,-0.0172452777778,0.135082716049
0.4,0.186935,0.001715,0.475541975309
0.45,0.1877925,0.0195319444444,1.11189166667
0.5,0.187621,0.0795569444444,2.29344197531
0.55,0.1895075,0.254963333333,3.23970910494
0.6,0.2107735,0.472577777778,2.86251496914
0.65,0.2430155,0.579479444444,1.6765183642
0.7,0.2718275,0.616161388889,0.815101388889
0.75,0.304241,0.641600555556,0.350357561728
0.8,0.3369975,0.645125833333,0.102741203704
0.85,0.3688965,0.645411666667,0.0193731481482
0.9,0.4014815,0.644744722222,-0.000370524691353
0.95,0.4333805,0.644363611111,0.0109040123457
1,0.465794,0.646173888889,0.0170441358025
1.05,0.498036,0.647221944444,0.0027524691358
1.1,0.530621,0.646459722222,-0.0131800925926
1.15,0.5626915,0.645221111111,-0.0174146604938
1.2,0.595105,0.644554166667,-0.0166736111111
1.25,0.6271755,0.643506111111,-0.0142387345679
1.3,0.6594175,0.643125,-0.0124390432099
1.35,0.691488,0.642648611111,-0.0177322530864
1.4,0.72373,0.64141,-0.0253015432099
1.45,0.755629,0.639980833333,-0.0328708333333
1.5,0.7876995,0.638646944444,-0.0492268518519
1.55,0.8195985,0.6354075,-0.0695527777778
1.6,0.851326,0.630548333333,-0.0671708333333
1.65,0.882539,0.627785277778,-0.0447276234568
1.7,0.914095,0.625689166667,-0.0134447530864
1.75,0.944965,0.626546666667,0.0133388888889
1.8,0.9766925,0.628452222222,0.0109040123457
1.85,1.0079055,0.628642777778,-0.0128095679012
1.9,1.039633,0.627118333333,-0.0372641975309
1.95,1.0706745,0.62426,-0.0477976851852
2,1.102059,0.621496944444,-0.0403342592592
2.05,1.1327575,0.619781944444,-0.0202200617284
2.1,1.1639705,0.619591388889,-0.0946955246914
2.15,1.1948405,0.618924444444,-0.550864351852
2.2,1.225539,0.623878888889,-2.61923904321
2.25,1.256752,0.454379722222,-5.41987638889
2.3,1.290023,0.0875602777778,-6.51895848765
2.35,1.3203785,-1.0178525,5.77558009259
2.4,1.024884,0.601012222222,18.0877450617
2.45,1.3817755,2.20348916667,6.12657283951
2.5,1.404585,1.15152722222,-5.9340058642
2.55,1.442315,0.828345,-5.28749320988
2.6,1.473185,0.622163888889,-2.8382191358
2.65,1.503369,0.613779444444,-0.762963271605
2.7,1.5337245,0.616923611111,-0.806526388889
2.75,1.564766,0.629595555556,-3.5972125
2.8,1.5971795,0.421604166667,-8.73030277778
2.85,1.628221,-0.164068333333,-12.2426121914
2.9,1.660806,-1.76140027778,1.52132145062
2.95,1.309917,-0.822818888889,27.508070679
3,1.43031,2.584505,25.6941935185
3.05,1.75959,2.80802666667,5.85593101852
3.1,1.7964625,1.90669888889,2.94900601852
3.15,1.8263035,2.4035725,8.16800509259
3.2,1.870722,5.20035638889,-24.1405834877
3.25,2.8203175,0.277925277778,-57.3374256173
3.3,1.9062225,-4.76569916667,-17.9654189815
3.35,1.8448255,-1.49700444444,25.7680337963
3.4,1.9216575,0.0955636111111,29.5889373457
3.45,1.8746665,1.35456416667,24.553983179
3.5,1.874152,4.60153555556,-16.3541658951
3.55,2.8199745,-0.227809166667,-52.9390328704
3.6,1.8465405,-4.92986277778,-16.174037963
3.65,1.8451685,-1.61686388889,20.071904784
3.7,1.8485985,-0.497826388889,16.7043117284
3.75,1.850828,0.0408741666667,8.14138024691
3.8,1.8527145,0.0365866666667,1.58896867284
3.85,1.8544295,0.0209611111111,-0.111686728395
3.9,1.855287,0.00142916666667,-0.649318055556
3.95,1.8585455,-0.0752694444444,-0.558592438272
4,1.8400235,-0.0340141666667,-1.19324830247
4.05,1.8544295,-0.0500208333333,-4.1243632716
4.1,1.854601,-0.436943888889,-5.95332608025
4.15,1.832306,-1.03900416667,-0.344323302469
4.2,1.7127705,-0.904853055556,11.8694938272
4.25,1.652917,0.722110277778,13.4951973765
4.3,1.850828,1.24099305556,0.852630246914
4.35,1.851514,0.431227222222,-6.23937114198
4.4,1.854258,0.131102222222,-4.59281234568
4.45,1.854258,0.00581194444445,-2.05233626543
4.5,1.8540865,0.00219138888889,-0.485969598765
4.55,1.8544295,0.000190555555556,-0.0926841049383
4.6,1.8540865,9.52777777779E-05,-0.00635185185186
4.65,1.8544295,9.52777777776E-05,0.00116450617283
4.7,1.8540865,0.000285833333333,0.00455216049382
4.75,1.8544295,0.000952777777776,-0.000116450617284
4.8,1.854258,0.000285833333333,-0.00521910493827
4.85,1.8544295,9.52777777776E-05,-0.00544141975308
4.9,1.854258,-0.000114333333333,-0.00793981481482
4.95,1.8544295,-0.000381111111112,-0.0152285648148
5,1.854258,-0.00190555555556,-0.0234383333334
