t,N1,dN1,N2,dN2,N3,dN3
4,8,2.82843,20,4.47214,26,5.09902
8,10,3.16228,20,4.47214,24,4.89898
12,12,3.4641,17,4.12311,20,4.47214
16,8,2.82843,18,4.24264,26,5.09902
20,11,3.31662,15,3.87298,24,4.89898
24,8,2.82843,22,4.69042,30,5.47723
28,13,3.60555,16,4,18,4.24264
32,7,2.64575,28,5.2915,19,4.3589
36,10,3.16228,17,4.12311,30,5.47723
40,15,3.87298,21,4.58258,26,5.09902
44,9,3,21,4.58258,37,6.08276
48,103,10.14889,15,3.87298,24,4.89898
52,366,19.13113,17,4.12311,56,7.48331
56,368,19.18333,306,17.49286,337,18.35756
60,287,16.94107,313,17.69181,326,18.05547
64,278,16.67333,318,17.83255,340,18.43909
68,292,17.08801,324,18,302,17.37815
72,270,16.43168,268,16.37071,318,17.83255
76,242,15.55635,253,15.90597,252,15.87451
80,246,15.68439,272,16.49242,239,15.45962
84,208,14.42221,247,15.71623,212,14.56022
88,230,15.16575,252,15.87451,224,14.96663
92,194,13.92839,216,14.69694,206,14.3527
96,220,14.8324,203,14.24781,183,13.52775
100,222,14.89966,217,14.73092,213,14.59452
104,187,13.67479,230,15.16575,181,13.45362
108,162,12.72792,186,13.63818,185,13.60147
112,173,13.15295,160,12.64911,194,13.92839
116,160,12.64911,159,12.60952,155,12.4499
120,143,11.95826,152,12.32883,140,11.83216
124,124,11.13553,184,13.56466,148,12.16553
128,149,12.20656,153,12.36932,132,11.48913
132,126,11.22497,134,11.57584,144,12
136,102,10.0995,121,11,164,12.80625
140,110,10.48809,127,11.26943,131,11.44552
144,110,10.48809,119,10.90871,121,11
148,116,10.77033,124,11.13553,102,10.0995
152,107,10.34408,105,10.24695,115,10.72381
156,105,10.24695,106,10.29563,98,9.89949
160,83,9.11043,96,9.79796,105,10.24695
164,106,10.29563,119,10.90871,106,10.29563
168,106,10.29563,101,10.04988,87,9.32738
172,70,8.3666,108,10.3923,88,9.38083
176,87,9.32738,78,8.83176,76,8.7178
180,75,8.66025,71,8.42615,66,8.12404
184,69,8.30662,86,9.27362,78,8.83176
188,69,8.30662,71,8.42615,63,7.93725
192,74,8.60233,71,8.42615,62,7.87401
196,67,8.18535,77,8.77496,59,7.68115
200,48,6.9282,66,8.12404,60,7.74597
204,64,8,61,7.81025,70,8.3666
208,62,7.87401,50,7.07107,74,8.60233
212,50,7.07107,66,8.12404,71,8.42615
216,42,6.48074,56,7.48331,63,7.93725
220,32,5.65685,62,7.87401,55,7.4162
224,58,7.61577,62,7.87401,54,7.34847
228,50,7.07107,54,7.34847,62,7.87401
232,37,6.08276,47,6.85565,55,7.4162
236,40,6.32456,43,6.55744,36,6
240,43,6.55744,46,6.78233,57,7.54983
244,38,6.16441,52,7.2111,68,8.24621
248,40,6.32456,40,6.32456,51,7.14143
252,50,7.07107,43,6.55744,50,7.07107
256,44,6.63325,44,6.63325,52,7.2111
260,36,6,49,7,43,6.55744
264,35,5.91608,46,6.78233,37,6.08276
268,46,6.78233,36,6,39,6.245
272,32,5.65685,43,6.55744,40,6.32456
276,21,4.58258,38,6.16441,34,5.83095
280,37,6.08276,47,6.85565,33,5.74456
284,23,4.79583,36,6,33,5.74456
288,24,4.89898,42,6.48074,38,6.16441
292,30,5.47723,49,7,36,6
296,26,5.09902,31,5.56776,42,6.48074
300,26,5.09902,43,6.55744,29,5.38516
304,28,5.2915,31,5.56776,29,5.38516
308,35,5.91608,30,5.47723,36,6
312,36,6,35,5.91608,27,5.19615
316,32,5.65685,35,5.91608,36,6
320,24,4.89898,32,5.65685,26,5.09902
324,18,4.24264,41,6.40312,42,6.48074
328,31,5.56776,29,5.38516,33,5.74456
332,28,5.2915,29,5.38516,40,6.32456
336,27,5.19615,24,4.89898,33,5.74456
340,23,4.79583,27,5.19615,29,5.38516
344,19,4.3589,26,5.09902,33,5.74456
348,21,4.58258,35,5.91608,43,6.55744
352,31,5.56776,31,5.56776,25,5
356,26,5.09902,23,4.79583,28,5.2915
360,22,4.69042,19,4.3589,48,6.9282
364,17,4.12311,30,5.47723,24,4.89898
368,29,5.38516,34,5.83095,35,5.91608
372,26,5.09902,31,5.56776,32,5.65685
376,19,4.3589,26,5.09902,29,5.38516
380,18,4.24264,25,5,32,5.65685
384,20,4.47214,20,4.47214,36,6
388,25,5,30,5.47723,30,5.47723
392,13,3.60555,27,5.19615,28,5.2915
396,23,4.79583,25,5,35,5.91608
400,16,4,27,5.19615,27,5.19615
404,20,4.47214,23,4.79583,30,5.47723
408,8,2.82843,23,4.79583,26,5.09902
412,28,5.2915,25,5,31,5.56776
416,8,2.82843,12,3.4641,32,5.65685
420,21,4.58258,23,4.79583,25,5
424,12,3.4641,18,4.24264,27,5.19615
428,16,4,23,4.79583,27,5.19615
432,13,3.60555,22,4.69042,43,6.55744
436,15,3.87298,20,4.47214,35,5.91608
440,8,2.82843,26,5.09902,22,4.69042
444,23,4.79583,16,4,24,4.89898
448,14,3.74166,25,5,26,5.09902
452,13,3.60555,23,4.79583,29,5.38516
456,17,4.12311,23,4.79583,29,5.38516
460,31,5.56776,28,5.2915,23,4.79583
464,16,4,22,4.69042,23,4.79583
468,16,4,19,4.3589,30,5.47723
472,12,3.4641,28,5.2915,29,5.38516
476,18,4.24264,29,5.38516,30,5.47723
480,11,3.31662,21,4.58258,28,5.2915
484,17,4.12311,34,5.83095,26,5.09902
488,20,4.47214,21,4.58258,21,4.58258
492,17,4.12311,26,5.09902,26,5.09902
496,15,3.87298,24,4.89898,30,5.47723
500,19,4.3589,22,4.69042,28,5.2915
504,16,4,27,5.19615,27,5.19615
508,22,4.69042,27,5.19615,30,5.47723
512,16,4,28,5.2915,35,5.91608
516,15,3.87298,24,4.89898,26,5.09902
520,18,4.24264,28,5.2915,22,4.69042
524,12,3.4641,30,5.47723,25,5
528,16,4,21,4.58258,32,5.65685
532,27,5.19615,23,4.79583,24,4.89898
536,15,3.87298,23,4.79583,18,4.24264
540,21,4.58258,27,5.19615,24,4.89898
544,17,4.12311,28,5.2915,22,4.69042
548,19,4.3589,19,4.3589,32,5.65685
552,18,4.24264,34,5.83095,25,5
556,10,3.16228,25,5,28,5.2915
560,14,3.74166,21,4.58258,18,4.24264
564,16,4,18,4.24264,29,5.38516
568,17,4.12311,20,4.47214,25,5
572,17,4.12311,16,4,21,4.58258
576,18,4.24264,23,4.79583,23,4.79583
580,17,4.12311,31,5.56776,22,4.69042
584,17,4.12311,18,4.24264,29,5.38516
588,15,3.87298,30,5.47723,24,4.89898
592,20,4.47214,24,4.89898,29,5.38516
596,20,4.47214,24,4.89898,28,5.2915
600,19,4.3589,31,5.56776,31,5.56776
